BookkeepingNumber;Status;Date;ValueDate;Name;PartyName;PartyIBAN;Description;RemittanceInfo;Amount;CreditDebit;IsDebit;Debit;Credit;Currency;AmountExclTax;AmountTax;TaxRate;Recipient;InvestmentType;Number;Category;Type;Fund;NumberOfShares;Fees;IBAN;EntryReference;Reference;AccountServicer;BankTxCode;OriginalCurrency;OriginalAmount;ExchangeRate
;COMPLETED;04.03.2021;05.03.2021;BACKBLAZE, HTTPSWWW.BACK US;BACKBLAZE, HTTPSWWW.BACK US;;BACKBLAZE, HTTPSWWW.BACK US - CHF;;11.55;DBIT;true;11.55;0.00;CHF;0.00;0.00;0.00;BACKBLAZE, HTTPSWWW.BACK US;;01832ca6-68ff-47e8-adc2-6a70f63f0c0d;Uncategorized;;;0;0.00;;;;;;USD;12.00;0.95
;COMPLETED;05.03.2021;08.03.2021;SBB CFF FFS Mobile Ticket, Bern CH;SBB CFF FFS Mobile Ticket, Bern CH;;SBB CFF FFS Mobile Ticket, Bern CH - Frais de traitement 1.75% CHF 0.20;;30.60;DBIT;true;30.60;0.00;CHF;0.00;0.00;0.00;SBB CFF FFS Mobile Ticket, Bern CH;;052cb630-b61b-41f1-bda3-5ec740b55041;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;06.03.2021;08.03.2021;SBB CFF FFS Mobile Ticket, Bern CH;SBB CFF FFS Mobile Ticket, Bern CH;;SBB CFF FFS Mobile Ticket, Bern CH - Services de transport;;6.90;DBIT;true;6.90;0.00;CHF;0.00;0.00;0.00;SBB CFF FFS Mobile Ticket, Bern CH;;90311ebb-b22c-44fe-8416-a429ac3b83c0;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;06.03.2021;08.03.2021;Coop-4225 Montreux, Montreux CH;Coop-4225 Montreux, Montreux CH;;Coop-4225 Montreux, Montreux CH - Services de transport;;109.90;DBIT;true;109.90;0.00;CHF;0.00;0.00;0.00;Coop-4225 Montreux, Montreux CH;;65fa326d-5c47-4ba4-8e2c-1a3a5ec8a2a1;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;06.03.2021;08.03.2021;Boucherie-Charcuterie Stu, Vevey CH;Boucherie-Charcuterie Stu, Vevey CH;;Boucherie-Charcuterie Stu, Vevey CH - Supermarchés, alimentation;;103.70;DBIT;true;103.70;0.00;CHF;0.00;0.00;0.00;Boucherie-Charcuterie Stu, Vevey CH;;18377829-8527-4095-a680-88e7578a1b5b;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;08.03.2021;09.03.2021;www.manor.ch, Basel CH;www.manor.ch, Basel CH;;www.manor.ch, Basel CH - Produits surgelés;;75.70;DBIT;true;75.70;0.00;CHF;0.00;0.00;0.00;www.manor.ch, Basel CH;;911349ba-62b5-40fa-9236-b8ea8b89a198;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;09.03.2021;10.03.2021;Le Minestrone, Montreux CH;Le Minestrone, Montreux CH;;Le Minestrone, Montreux CH - Magasins de détail spécialisés;;140.45;DBIT;true;140.45;0.00;CHF;0.00;0.00;0.00;Le Minestrone, Montreux CH;;43e6e2e5-cd1d-439b-b515-dfe7bdb4c793;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;11.03.2021;12.03.2021;SBB CFF FFS Mobile Ticket, Bern CH;SBB CFF FFS Mobile Ticket, Bern CH;;SBB CFF FFS Mobile Ticket, Bern CH - Restaurants, bistros;;17.40;DBIT;true;17.40;0.00;CHF;0.00;0.00;0.00;SBB CFF FFS Mobile Ticket, Bern CH;;3703d1ee-15c0-437e-844d-d708c71349e7;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;11.03.2021;12.03.2021;DG Solutions Sarl, Martigny CH;DG Solutions Sarl, Martigny CH;;DG Solutions Sarl, Martigny CH - Services de transport;;440.00;DBIT;true;440.00;0.00;CHF;0.00;0.00;0.00;DG Solutions Sarl, Martigny CH;;afc1dcb5-38aa-4d61-b123-99e3021ee293;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;12.03.2021;15.03.2021;Coop-4225 Montreux, Montreux CH;Coop-4225 Montreux, Montreux CH;;Coop-4225 Montreux, Montreux CH - Ventes électroniques;;102.20;DBIT;true;102.20;0.00;CHF;0.00;0.00;0.00;Coop-4225 Montreux, Montreux CH;;51da5311-45e9-46c3-9734-ae73ddcbdd45;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;13.03.2021;15.03.2021;APPLE.COM/BILL, ITUNES.COM IE;APPLE.COM/BILL, ITUNES.COM IE;;APPLE.COM/BILL, ITUNES.COM IE - Supermarchés, alimentation;;1.90;DBIT;true;1.90;0.00;CHF;0.00;0.00;0.00;APPLE.COM/BILL, ITUNES.COM IE;;52175426-837d-4cbc-8ae4-7cc5e575f4c9;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;13.03.2021;15.03.2021;SBB CFF FFS Mobile Ticket, Bern CH;SBB CFF FFS Mobile Ticket, Bern CH;;SBB CFF FFS Mobile Ticket, Bern CH - Biens numériques, film/musique;;9.20;DBIT;true;9.20;0.00;CHF;0.00;0.00;0.00;SBB CFF FFS Mobile Ticket, Bern CH;;85976c18-1b88-4e77-a4ba-852e55329241;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.03.2021;17.03.2021;Migros Forum Montreux, Montreux CH;Migros Forum Montreux, Montreux CH;;Migros Forum Montreux, Montreux CH - Services de transport;;33.75;DBIT;true;33.75;0.00;CHF;0.00;0.00;0.00;Migros Forum Montreux, Montreux CH;;1258eafc-5149-4895-8f7a-a3cab37ac160;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.03.2021;18.03.2021;PAYPAL *DROPBOXINTE, 35314369001 GB;PAYPAL *DROPBOXINTE, 35314369001 GB;;PAYPAL *DROPBOXINTE, 35314369001 GB - Supermarchés, alimentation;;234.90;DBIT;true;234.90;0.00;CHF;0.00;0.00;0.00;PAYPAL *DROPBOXINTE, 35314369001 GB;;ce9ce3f3-9115-4acb-934e-26199f0a26ab;Uncategorized;;;0;4.05;;;;;;CHF;230.86;0.00
;COMPLETED;19.03.2021;22.03.2021;Muller Handels AG Schweiz, Montreux CH;Muller Handels AG Schweiz, Montreux CH;;Muller Handels AG Schweiz, Montreux CH - Frais de traitement 1.75% CHF 4.05;;107.75;DBIT;true;107.75;0.00;CHF;0.00;0.00;0.00;Muller Handels AG Schweiz, Montreux CH;;89ad6e15-f75d-44a0-be49-4d8985e9abcc;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.03.2021;22.03.2021;LAITERIE DE GRUYERE, MONTREUX CH;LAITERIE DE GRUYERE, MONTREUX CH;;LAITERIE DE GRUYERE, MONTREUX CH - Parfumeries, cosmétiques;;114.00;DBIT;true;114.00;0.00;CHF;0.00;0.00;0.00;LAITERIE DE GRUYERE, MONTREUX CH;;d2679c08-f057-42a9-83c8-8b6f0f9b821d;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;20.03.2021;22.03.2021;APPLE.COM/BILL, ITUNES.COM IE;APPLE.COM/BILL, ITUNES.COM IE;;APPLE.COM/BILL, ITUNES.COM IE - Supermarchés, alimentation;;43.00;DBIT;true;43.00;0.00;CHF;0.00;0.00;0.00;APPLE.COM/BILL, ITUNES.COM IE;;933337e2-6c93-4c3b-96f8-cf18822613b1;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;20.03.2021;22.03.2021;Coop-4225 Montreux, Montreux CH;Coop-4225 Montreux, Montreux CH;;Coop-4225 Montreux, Montreux CH - Musique, téléchargements;;224.25;DBIT;true;224.25;0.00;CHF;0.00;0.00;0.00;Coop-4225 Montreux, Montreux CH;;824e6029-a407-4aad-bcc0-105fd630e9fb;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;20.03.2021;22.03.2021;Coop TS Rennaz, Rennaz CH;Coop TS Rennaz, Rennaz CH;;Coop TS Rennaz, Rennaz CH - Supermarchés, alimentation;;80.90;DBIT;true;80.90;0.00;CHF;0.00;0.00;0.00;Coop TS Rennaz, Rennaz CH;;3f3eb39d-3a1f-48d5-a02f-c10810a52a64;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;20.03.2021;22.03.2021;Coop-4225 Montreux, Montreux CH;Coop-4225 Montreux, Montreux CH;;Coop-4225 Montreux, Montreux CH - Stations-service;;73.80;DBIT;true;73.80;0.00;CHF;0.00;0.00;0.00;Coop-4225 Montreux, Montreux CH;;35f717ab-9085-411d-aef1-28158e99fd2b;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;21.03.2021;22.03.2021;APPLE.COM/BILL, ITUNES.COM IE;APPLE.COM/BILL, ITUNES.COM IE;;APPLE.COM/BILL, ITUNES.COM IE - CHF;;8.00;DBIT;true;8.00;0.00;CHF;0.00;0.00;0.00;APPLE.COM/BILL, ITUNES.COM IE;;799b5bf3-d400-473b-8bf8-3804394737ad;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.03.2021;23.03.2021;FNAC - Montreux, Montreux CH;FNAC - Montreux, Montreux CH;;FNAC - Montreux, Montreux CH - Musique, téléchargements;;426.55;DBIT;true;426.55;0.00;CHF;0.00;0.00;0.00;FNAC - Montreux, Montreux CH;;05048d8f-4afe-48af-8101-0222fe17aba0;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.03.2021;23.03.2021;Coop-4225 Montreux, Montreux CH;Coop-4225 Montreux, Montreux CH;;Coop-4225 Montreux, Montreux CH - Logiciels informatiques;;82.95;DBIT;true;82.95;0.00;CHF;0.00;0.00;0.00;Coop-4225 Montreux, Montreux CH;;cf58d6e5-06f0-474a-ac19-e76d3d3f0bd0;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.03.2021;23.03.2021;APPLE.COM/BILL, ITUNES.COM IE;APPLE.COM/BILL, ITUNES.COM IE;;APPLE.COM/BILL, ITUNES.COM IE - Supermarchés, alimentation;;3.00;DBIT;true;3.00;0.00;CHF;0.00;0.00;0.00;APPLE.COM/BILL, ITUNES.COM IE;;bd9732ee-b751-478c-a62f-721dd9f26234;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.03.2021;23.03.2021;APPLE.COM/BILL, ITUNES.COM IE;APPLE.COM/BILL, ITUNES.COM IE;;APPLE.COM/BILL, ITUNES.COM IE - Musique, téléchargements;;3.00;DBIT;true;3.00;0.00;CHF;0.00;0.00;0.00;APPLE.COM/BILL, ITUNES.COM IE;;2ed6321f-caf4-49cc-b100-be99dd991924;Uncategorized;;;0;0.00;;;;;;;0.00;0.00
