BookkeepingNumber;Status;Date;ValueDate;Name;PartyName;PartyIBAN;Description;RemittanceInfo;Amount;CreditDebit;IsDebit;Debit;Credit;Currency;AmountExclTax;AmountTax;TaxRate;Recipient;InvestmentType;Number;Category;Type;Fund;NumberOfShares;Fees;IBAN;EntryReference;Reference;AccountServicer;BankTxCode;OriginalCurrency;OriginalAmount;ExchangeRate
;COMPLETED;01.02.2025;31.01.2025;Angel S Bar;Angel S Bar;;Angel S Bar;;30.00;DBIT;true;30.00;0.00;CHF;0.00;0.00;0.00;Angel S Bar;CARD_PAYMENT;c3d469d9-34be-4bdd-8359-c6190d57f593;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;01.02.2025;01.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;2.75;DBIT;true;2.75;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;1264aaca-f838-4ebc-b64e-a23b827d9f89;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;02.02.2025;01.02.2025;Amazon;Amazon;;Amazon;;9.45;DBIT;true;9.45;0.00;CHF;0.00;0.00;0.00;Amazon;CARD_PAYMENT;475c9f4b-174f-4d6f-a256-5649d346e70a;Uncategorized;CARD_PAYMENT;;0;0.09;;;;;;;0.00;0.00
;COMPLETED;04.02.2025;04.02.2025;Payment from Frederic Yvan Joseph Jacquet;Payment from Frederic Yvan Joseph Jacquet;;Payment from Frederic Yvan Joseph Jacquet;;350.00;CRDT;false;0.00;350.00;CHF;0.00;0.00;0.00;;TOPUP;d4ff6179-1ef9-4306-ba8c-4b5e419bcb66;Uncategorized;TOPUP;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;05.02.2025;05.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;1.70;DBIT;true;1.70;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;9e4ac861-2f09-4e66-a99e-8feb208ec935;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;06.02.2025;05.02.2025;Filae;Filae;;Filae;;52.66;DBIT;true;52.66;0.00;CHF;0.00;0.00;0.00;Filae;CARD_PAYMENT;1d3c504b-b37f-4339-9995-31fd92812b9c;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;06.02.2025;06.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;1.95;DBIT;true;1.95;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;bbad369e-9c32-4921-bd56-fb252ac5b49f;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;06.02.2025;06.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;0.95;DBIT;true;0.95;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;7088cb5d-1b3d-4913-9301-78a3457f63a8;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;07.02.2025;06.02.2025;Amazon;Amazon;;Amazon;;36.61;DBIT;true;36.61;0.00;CHF;0.00;0.00;0.00;Amazon;CARD_PAYMENT;312a205a-7516-4090-8f6a-5847d02c63c7;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;07.02.2025;06.02.2025;Amazon;Amazon;;Amazon;;18.81;DBIT;true;18.81;0.00;CHF;0.00;0.00;0.00;Amazon;CARD_PAYMENT;501cb1eb-d35e-4979-819e-1e82357d619e;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;07.02.2025;07.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;7905091b-d130-4629-8ad4-05c7b619d741;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;08.02.2025;07.02.2025;GoFundMe;GoFundMe;;GoFundMe;;210.00;DBIT;true;210.00;0.00;CHF;0.00;0.00;0.00;GoFundMe;CARD_PAYMENT;50d8dcd6-a8e1-4f06-9f81-8db89f7a9071;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;10.02.2025;10.02.2025;Payment from Frederic Yvan Joseph Jacquet;Payment from Frederic Yvan Joseph Jacquet;;Payment from Frederic Yvan Joseph Jacquet;;300.00;CRDT;false;0.00;300.00;CHF;0.00;0.00;0.00;;TOPUP;58e80d5c-07ee-4939-af32-979f850843dd;Uncategorized;TOPUP;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;13.02.2025;13.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;6da6e7bf-b190-48fb-837e-3517aee9d90d;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;14.02.2025;14.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;1.55;DBIT;true;1.55;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;ee33e67e-de29-4846-8e36-e42c14917224;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;14.02.2025;13.02.2025;Indigo;Indigo;;Indigo;;10.00;DBIT;true;10.00;0.00;CHF;0.00;0.00;0.00;Indigo;CARD_PAYMENT;ad7ccf24-b3b5-4c0b-a7be-5f1b8d0fea23;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;14.02.2025;14.02.2025;EasyPark;EasyPark;;EasyPark;;0.69;DBIT;true;0.69;0.00;CHF;0.00;0.00;0.00;EasyPark;CARD_PAYMENT;814bf597-dbf2-40a5-adfc-ab90fc63ba26;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.02.2025;16.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;4.30;DBIT;true;4.30;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;09f0c40d-cddb-4792-8b67-31b577166be9;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.02.2025;16.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;2.50;DBIT;true;2.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;7554483e-73ff-44f9-a6b7-467c5c25491b;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.02.2025;16.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;1.00;DBIT;true;1.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;308aa0f3-4df9-4168-8d54-5c40408b1d2b;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.02.2025;16.02.2025;EasyPark;EasyPark;;EasyPark;;1.14;DBIT;true;1.14;0.00;CHF;0.00;0.00;0.00;EasyPark;CARD_PAYMENT;9b8416d1-3e5e-4c70-b64e-e9c100f294bd;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;16.02.2025;16.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;0.50;DBIT;true;0.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;fbe6eeba-6064-4cff-bfb1-71838fa3eac8;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.02.2025;16.02.2025;Berghotel Wildstrubel;Berghotel Wildstrubel;;Berghotel Wildstrubel;;71.80;DBIT;true;71.80;0.00;CHF;0.00;0.00;0.00;Berghotel Wildstrubel;CARD_PAYMENT;0efb404a-9b36-476e-a3d4-7b896e9641ad;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.02.2025;16.02.2025;BRIAND Sport & Mode;BRIAND Sport & Mode;;BRIAND Sport & Mode;;29.90;DBIT;true;29.90;0.00;CHF;0.00;0.00;0.00;BRIAND Sport & Mode;CARD_PAYMENT;e5ef6158-b97b-4ad3-951e-4e13bb6a1560;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.02.2025;16.02.2025;Berghotel Wildstrubel;Berghotel Wildstrubel;;Berghotel Wildstrubel;;6.50;DBIT;true;6.50;0.00;CHF;0.00;0.00;0.00;Berghotel Wildstrubel;CARD_PAYMENT;d4d0461d-96c6-400e-abfb-461912401edd;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.02.2025;17.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;3cc8be07-1585-4803-994d-f39c1b2eb227;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.02.2025;17.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;3.50;DBIT;true;3.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;ac05d7a8-ca99-42b2-a9b3-9b89b880710a;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;17.02.2025;17.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;2405a702-f8c5-4271-b589-47048ae40e19;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;18.02.2025;17.02.2025;Coop;Coop;;Coop;;4.30;DBIT;true;4.30;0.00;CHF;0.00;0.00;0.00;Coop;CARD_PAYMENT;a7e05799-2c28-4fd4-a875-4f0184e308f0;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;18.02.2025;17.02.2025;Hotel Schwarenbach;Hotel Schwarenbach;;Hotel Schwarenbach;;50.00;DBIT;true;50.00;0.00;CHF;0.00;0.00;0.00;Hotel Schwarenbach;CARD_PAYMENT;5b4e7720-0abe-464d-9927-fb239a7e99fb;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;18.02.2025;18.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;d6353489-b39f-4bbd-8192-3510b8ec4c14;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;18.02.2025;18.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;5.00;DBIT;true;5.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;630332f8-9adf-4438-9648-04b7e8a5a44f;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;18.02.2025;18.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;3.00;DBIT;true;3.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;cfe1ed25-f067-4731-916f-447625ab3aad;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.02.2025;18.02.2025;Rathausstrasse;Rathausstrasse;;Rathausstrasse;;14.40;DBIT;true;14.40;0.00;CHF;0.00;0.00;0.00;Rathausstrasse;CARD_PAYMENT;3a6ea637-0b3b-4ebe-9014-e1bcc8d265ac;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.02.2025;18.02.2025;Rathausstrasse;Rathausstrasse;;Rathausstrasse;;41.00;DBIT;true;41.00;0.00;CHF;0.00;0.00;0.00;Rathausstrasse;CARD_PAYMENT;ca897301-f59e-47ae-aae5-246224a37c22;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.02.2025;17.02.2025;SBB CFF FFS;SBB CFF FFS;;SBB CFF FFS;;1.00;DBIT;true;1.00;0.00;CHF;0.00;0.00;0.00;SBB CFF FFS;CARD_PAYMENT;5764024a-fcea-44df-842b-d93e961a9754;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.02.2025;18.02.2025;Migros;Migros;;Migros;;22.00;DBIT;true;22.00;0.00;CHF;0.00;0.00;0.00;Migros;CARD_PAYMENT;45402ba1-2ac8-46e5-bb88-70c212f57119;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.02.2025;19.02.2025;Payment from Frederic Yvan Joseph Jacquet;Payment from Frederic Yvan Joseph Jacquet;;Payment from Frederic Yvan Joseph Jacquet;;300.00;CRDT;false;0.00;300.00;CHF;0.00;0.00;0.00;;TOPUP;7cec568a-0470-4dcb-aa8c-ec072d949520;Uncategorized;TOPUP;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.02.2025;19.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;4.25;DBIT;true;4.25;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;147e2e78-5cf3-42a3-9f3b-0e881175837e;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;19.02.2025;19.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;3.00;DBIT;true;3.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;5404b97f-7846-4cb4-853b-09fc6ff8f61c;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;20.02.2025;19.02.2025;Rathausstrasse;Rathausstrasse;;Rathausstrasse;;29.40;DBIT;true;29.40;0.00;CHF;0.00;0.00;0.00;Rathausstrasse;CARD_PAYMENT;8ce637ec-9134-4e97-b666-f856a6ad75f5;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;20.02.2025;19.02.2025;Migros;Migros;;Migros;;28.15;DBIT;true;28.15;0.00;CHF;0.00;0.00;0.00;Migros;CARD_PAYMENT;549a32c4-08fc-4318-9874-f4e11fb7a06c;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;20.02.2025;20.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;3.00;DBIT;true;3.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;7aa0cfd3-94f7-42a7-86a1-4cc78c34a235;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;21.02.2025;20.02.2025;Rathausstrasse;Rathausstrasse;;Rathausstrasse;;28.40;DBIT;true;28.40;0.00;CHF;0.00;0.00;0.00;Rathausstrasse;CARD_PAYMENT;d4244737-b2e5-44c3-82f9-f25d268289c8;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;21.02.2025;21.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;1.50;DBIT;true;1.50;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;195a8100-b7d7-4009-a361-104e4b9073a2;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.02.2025;21.02.2025;Restaurant Rinderhütte;Restaurant Rinderhütte;;Restaurant Rinderhütte;;71.70;DBIT;true;71.70;0.00;CHF;0.00;0.00;0.00;Restaurant Rinderhütte;CARD_PAYMENT;f20d6793-169b-4001-8037-e1562698de9d;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.02.2025;22.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;1.75;DBIT;true;1.75;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;212e2c82-6805-4ca1-b0fd-5cb52a35cbb7;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.02.2025;22.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;2.75;DBIT;true;2.75;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;518769d1-fe68-4288-9cae-09dd944b7e51;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;22.02.2025;22.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;1.00;DBIT;true;1.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;2011fa84-0b0d-480c-9556-c58ca45d1995;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;23.02.2025;22.02.2025;Coop;Coop;;Coop;;35.65;DBIT;true;35.65;0.00;CHF;0.00;0.00;0.00;Coop;CARD_PAYMENT;3c522919-0d4b-484a-a00b-2a3e56786d86;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;23.02.2025;22.02.2025;5àsec;5àsec;;5àsec;;53.45;DBIT;true;53.45;0.00;CHF;0.00;0.00;0.00;5àsec;CARD_PAYMENT;08e5aed7-ca53-461e-9f9a-458c3cc155d2;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;23.02.2025;22.02.2025;Inglewood Montreux;Inglewood Montreux;;Inglewood Montreux;;49.80;DBIT;true;49.80;0.00;CHF;0.00;0.00;0.00;Inglewood Montreux;CARD_PAYMENT;515b35cd-e62d-413a-ac43-9a42f5bd00d8;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;25.02.2025;25.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;4.90;DBIT;true;4.90;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;9d5521a0-5ab9-4a61-86bb-4547514b3eae;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;25.02.2025;25.02.2025;EasyPark;EasyPark;;EasyPark;;4.02;DBIT;true;4.02;0.00;CHF;0.00;0.00;0.00;EasyPark;CARD_PAYMENT;ff21c2d0-1dbc-4a8e-8b1c-0f60d9361809;Uncategorized;CARD_PAYMENT;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;26.02.2025;26.02.2025;Payment from Frederic Yvan Joseph Jacquet;Payment from Frederic Yvan Joseph Jacquet;;Payment from Frederic Yvan Joseph Jacquet;;350.00;CRDT;false;0.00;350.00;CHF;0.00;0.00;0.00;;TOPUP;5762c44b-2308-400a-9da6-9faa13e0570d;Uncategorized;TOPUP;;0;0.00;;;;;;;0.00;0.00
;COMPLETED;27.02.2025;27.02.2025;To CHF Vacances;Transfert to CHF Vacances;;Transfert to CHF Vacances;;3.00;DBIT;true;3.00;0.00;CHF;0.00;0.00;0.00;To CHF Vacances;TRANSFER;915f6d16-75f8-4b1d-bc48-737a670937b5;Uncategorized;TRANSFER;;0;0.00;;;;;;;0.00;0.00
